k,run_id,random_seed,dataset,inertia,silhouette,calinski_harabasz,inertia/samples,calinski_harabasz/samples,silhouette/samples
4,25,26,eval,15201.123159503622,0.2563287208321311,1105.561627731385,5.786495302437618,0.42084569003859346,9.757469388356722e-05
4,26,27,train,47030.60385004806,0.2577061978570561,3267.705350070604,5.829276629901842,0.4050204945551071,3.1941769689768976e-05
4,26,27,eval,15201.123159503622,0.2563287208321311,1105.5616277313848,5.786495302437618,0.42084569003859335,9.757469388356722e-05
4,27,28,train,47030.616148285,0.25772258536776227,3267.703792687742,5.829278154224715,0.40502030152302204,3.194380086362943e-05
4,27,28,eval,15200.893781925144,0.2563287208321311,1105.5616277313848,5.786407987028985,0.42084569003859335,9.757469388356722e-05
4,28,29,train,47030.64542290835,0.2577196656568419,3267.702989795441,5.829281782710504,0.40502020200736755,3.194343897581084e-05
4,28,29,eval,15200.897138413198,0.25636567347851474,1105.5470705705245,5.786409264717624,0.4208401486754947,9.758876036487047e-05
4,29,30,train,47030.603850048064,0.2577061978570561,3267.705350070604,5.829276629901843,0.4050204945551071,3.1941769689768976e-05
4,29,30,eval,15201.123159503622,0.2563287208321311,1105.561627731385,5.786495302437618,0.42084569003859346,9.757469388356722e-05
5,0,1,train,41536.07696951859,0.26788866724997557,3041.2818273679063,5.148249500436116,0.37695610155774745,3.320385067550515e-05
5,0,1,eval,13422.324474815272,0.267829606167738,1026.7402576107697,5.109373610512095,0.3908413618617319,0.00010195264795117548
5,1,2,train,41536.06700126415,0.2678538773749206,3041.283041006643,5.148248264906315,0.37695625198396665,3.319953859381763e-05
5,1,2,eval,13422.268744884275,0.267829606167738,1026.7402576107697,5.109352396225457,0.3908413618617319,0.00010195264795117548
5,2,3,train,41536.07696951859,0.26788866724997557,3041.2818273679054,5.148249500436116,0.37695610155774734,3.320385067550515e-05
5,2,3,eval,13422.324474815272,0.267829606167738,1026.7402576107697,5.109373610512095,0.3908413618617319,0.00010195264795117548
5,3,4,train,41536.09695511166,0.26788866724997557,3041.281827367906,5.148251977579531,0.3769561015577474,3.320385067550515e-05
5,3,4,eval,13422.360181256083,0.267829606167738,1026.7402576107697,5.109387202609852,0.3908413618617319,0.00010195264795117548
5,4,5,train,41536.072018745595,0.26780154337430795,3041.2824301263113,5.148248886805354,0.37695617626751504,3.319305197995884e-05
5,4,5,eval,13422.440498558417,0.267739663540679,1026.6285381946605,5.109417776383105,0.3907988344859766,0.00010191841017916979
5,5,6,train,41536.07696951859,0.26788866724997557,3041.2818273679054,5.148249500436116,0.37695610155774734,3.320385067550515e-05
5,5,6,eval,13422.324474815272,0.267829606167738,1026.7402576107697,5.109373610512095,0.3908413618617319,0.00010195264795117548
5,6,7,train,41536.06080440478,0.26787223335021865,3041.2837954769043,5.148247496827563,0.37695634549788104,3.32018137518863e-05
5,6,7,eval,13422.164887524521,0.267829606167738,1026.7402576107697,5.1093128616385695,0.3908413618617319,0.00010195264795117548
5,7,8,train,41536.583294619966,0.2675535969782897,3041.2278037441033,5.148312257637576,0.3769494055210837,3.316231990310978e-05
5,7,8,eval,13423.989519579138,0.26752296513846985,1026.5373982803974,5.110007430368914,0.39076414095180717,0.00010183592125560329
5,8,9,train,41536.09046284516,0.26788866724997557,3041.2818273679063,5.148251172886114,0.37695610155774745,3.320385067550515e-05
5,8,9,eval,13422.357280766595,0.267829606167738,1026.74025761077,5.109386098502701,0.390841361861732,0.00010195264795117548
