k,run_id,random_seed,dataset,inertia,ssd_exp,silhouette,calinski_harabasz
7,9,10,train,422.2765781258805,-6.025996243278202,0.10712295654897103,34.945164535256914
2,9,10,train,939.9661971483079,-1.0000295591898998,0.18233194708566625,37.42576946495327
6,9,10,train,340.37387053662155,-5.038912327560617,0.18485858170320257,43.609404229832656
9,9,10,train,224.61938897714492,-8.09170173947635,0.165532163898323,45.40104690213664
4,9,10,train,488.6592640710226,-3.0056929945218664,0.14230164131167167,34.72601951137168
8,9,10,train,335.4002807764621,-7.034484217202074,0.08658008927711329,33.03197150652794
4,9,10,train,458.6473275769961,-3.0104712615497986,0.14230164131167167,34.72601951137168
2,9,10,train,663.5029618503436,-1.0019079797451493,0.18233194708566625,37.42576946495327
7,9,10,train,310.67571333705854,-6.039016598169488,0.10712295654897103,34.945164535256914
3,9,10,train,478.48707238398043,-2.0076955607290907,0.13714253906366836,32.85646831087799
8,9,10,train,321.4292626352996,-7.041636865114435,0.08658008927711329,33.03197150652794
7,9,10,train,364.8370152960227,-6.042304386452094,0.10712295654897103,34.945164535256914
8,9,10,train,371.5102370532585,-7.04616604010769,0.08658008927711329,33.03197150652794
4,9,10,train,471.6035232837087,-3.0113426127075282,0.14230164131167167,34.72601951137168
10,9,10,train,236.25102790628063,-9.097758784699876,0.18545709498475688,43.44800875015425
10,9,10,train,230.2313500682238,-9.106190161675617,0.18545709498475688,43.44800875015425
4,10,11,train,679.0574873428419,-3.000314295799354,0.15316050701298425,39.66137128093587
4,10,11,train,424.79288832397486,-3.013430598819547,0.15316050701298425,39.66137128093587
8,10,11,train,362.0236674880576,-7.028702435155767,0.1274027849759702,35.94090197107176
6,10,11,train,365.3588136771529,-5.016186199272269,0.14181461901106224,36.33201935354919
5,10,11,train,480.44376907971736,-4.010605820704429,0.12131323092047377,35.55269691148948
9,10,11,train,296.2870387424478,-8.0415439060917,0.1564200386085237,43.478747597134124
7,10,11,train,377.08096490548127,-6.022339076645181,0.11738056086293028,30.15813676623469
6,10,11,train,361.8680800568092,-5.024400289475159,0.14181461901106224,36.33201935354919
10,10,11,train,247.04359759266953,-9.067508077244739,0.13683710530978124,35.65991820316845
10,10,11,train,238.48528095155632,-9.078370846210415,0.13683710530978124,35.65991820316845
2,10,11,train,866.1047006776951,-1.000249821804018,0.2551438556867811,71.55685319134022
5,10,11,train,405.8502079841713,-4.013644238475645,0.12131323092047377,35.55269691148948
7,10,11,train,396.0220255959259,-6.025543311807267,0.11738056086293028,30.15813676623469
9,10,11,train,276.24638228556785,-8.048455049211672,0.1564200386085237,43.478747597134124
8,10,11,train,307.7331296019333,-7.047215183053098,0.1274027849759702,35.94090197107176
7,10,11,train,385.15875887043813,-6.0447769870858306,0.11738056086293028,30.15813676623469
3,10,11,train,490.91197646167467,-2.005716540954265,0.21688979243776424,50.75943185599474
5,10,11,train,359.1624646992575,-4.017300306447946,0.12131323092047377,35.55269691148948
4,10,11,train,452.5024490424536,-3.015446504332071,0.15316050701298425,39.66137128093587
9,10,11,train,247.80466960762527,-8.07384427540814,0.1564200386085237,43.478747597134124
2,10,11,train,663.9237669775777,-1.0007187871132532,0.2551438556867811,71.55685319134022
5,10,11,train,458.0348281486905,-4.020395246352823,0.12131323092047377,35.55269691148948
3,10,11,train,501.17079453777757,-2.006060549628022,0.21688979243776424,50.75943185599474
5,10,11,train,400.7750050195367,-4.022030398525686,0.12131323092047377,35.55269691148948
8,10,11,train,257.7172167569626,-7.0557900352084015,0.1274027849759702,35.94090197107176
2,10,11,train,706.6372743907931,-1.0012403070496043,0.2551438556867811,71.55685319134022
9,10,11,train,237.72098598990823,-8.088103840793583,0.1564200386085237,43.478747597134124
10,10,11,train,230.5275821881941,-9.098594099364112,0.13683710530978124,35.65991820316845
2,10,11,train,613.9601151783706,-1.0032376549353037,0.2551438556867811,71.55685319134022
6,10,11,train,364.3212175793997,-5.025772266946891,0.14181461901106224,36.33201935354919
6,10,11,train,365.3871749065328,-5.029398687085209,0.14181461901106224,36.33201935354919
7,11,12,train,445.4415969790855,-6.00812241128234,0.1576544312738067,38.14759573730331
6,11,12,train,390.6971217122326,-5.024069672573565,0.15861148977552375,40.5227442878933
4,11,12,train,458.09116669686483,-3.0097007324648968,0.07872798416175371,26.04296852088082
10,11,12,train,272.20562538129775,-9.05606693075758,0.15746151353694313,40.47037474379635
9,11,12,train,324.1581136299898,-8.042882343196062,0.15215839997372718,42.109768361574766
5,11,12,train,402.32372687869724,-4.012767022680024,0.22958627317558758,50.51403235414638
8,11,12,train,355.82682128861586,-7.031924564398865,0.15314293745849994,40.08510189442239
2,11,12,train,686.4016091098521,-1.001410769802587,0.17113268230235676,45.67831099245088
6,11,12,train,346.911980436793,-5.02810962792008,0.15861148977552375,40.5227442878933
7,11,12,train,285.1370851870285,-6.045424321643476,0.1576544312738067,38.14759573730331
3,11,12,train,635.6555229277858,-2.0014644945972417,0.2063724681397433,49.659480217106356
9,11,12,train,260.83433241329425,-8.058622690440645,0.15215839997372718,42.109768361574766
10,11,12,train,267.5189626134447,-9.056107838396867,0.15746151353694313,40.47037474379635
8,11,12,train,264.9968480436381,-7.0619621315951155,0.15314293745849994,40.08510189442239
9,11,12,train,247.7154378026016,-8.080352352705031,0.15215839997372718,42.109768361574766
4,11,12,train,483.4722910896318,-3.010042632293191,0.07872798416175371,26.04296852088082
10,11,12,train,282.2214462309125,-9.059924329212194,0.15746151353694313,40.47037474379635
6,11,12,train,352.7736328138063,-5.03045875850966,0.15861148977552375,40.5227442878933
2,11,12,train,579.4158192937831,-1.0037980624907712,0.17113268230235676,45.67831099245088
5,11,12,train,434.6581676004676,-4.023230432969063,0.22958627317558758,50.51403235414638
7,11,12,train,282.2417547265685,-6.047795107461933,0.1576544312738067,38.14759573730331
10,11,12,train,221.1736991924836,-9.079010253414987,0.15746151353694313,40.47037474379635
10,11,12,train,239.7894352614484,-9.085769808556414,0.15746151353694313,40.47037474379635
3,11,12,train,568.8181171540072,-2.0061641804662917,0.2063724681397433,49.659480217106356
6,11,12,train,349.42281259469223,-5.037164800864172,0.15861148977552375,40.5227442878933
10,12,13,train,229.09843069256834,-9.073120379219905,0.210515060814946,53.87829951627768
3,12,13,train,626.7246970105485,-2.0021377450321767,0.11233546431597206,33.44318690024589
8,12,13,train,439.9189540317039,-7.01520146329783,0.10660722524884568,32.37963818845935
9,12,13,train,256.0395854933717,-8.060977121439414,0.14582608920334342,39.69023660255407
7,12,13,train,336.315522947167,-6.034203972369107,0.08141948120996872,32.557202259518945
6,12,13,train,370.2045445643017,-5.027019111496134,0.13882643595926425,40.94451719311263
